document_number,publication_date,product_name,hs_codes,countries,html_url,document_title
 2020-17055,08/05/2020,Chassis,"['8716.39.00', '8716.90.50']",['China'],https://www.federalregister.gov/documents/2020/08/05/2020-17055/chassis-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and-scheduling,Chassis From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-15277,07/15/2020,Metal lockers,"['9403.20.00', '9403.20.00', '9403.90.80', '9403.90.80']",['China'],https://www.federalregister.gov/documents/2020/07/15/2020-15277/metal-lockers-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and,Metal Lockers From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-16923,08/04/2020,Methionine,"['2930.40.00', '2930.90.46']","['France', 'Japan', 'Spain']",https://www.federalregister.gov/documents/2020/08/04/2020-16923/methionine-from-france-japan-and-spain-institution-of-anti-dumping-duty-investigations-and,"Methionine From France, Japan, and Spain; Institution of Anti-Dumping Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-22658,10/14/2020,Thermal paper,"['4811.90.80', '4811.90.90']","['Germany', 'Japan', 'Korea', 'Spain']",https://www.federalregister.gov/documents/2020/10/14/2020-22658/institution-of-anti-dumping-duty-investigations-and-scheduling-of-preliminary-phase-investigations,"Institution of Anti-Dumping Duty Investigations and Scheduling of Preliminary Phase Investigations; Thermal Paper From Germany, Japan, Korea, and Spain"
 2020-14541,07/07/2020,Seamless refined copper pipe and tube,['7411.10.10'],['Vietnam'],https://www.federalregister.gov/documents/2020/07/07/2020-14541/seamless-refined-copper-pipe-and-tube-from-vietnam-institution-of-an-anti-dumping-duty-investigation,Seamless Refined Copper Pipe and Tube From Vietnam; Institution of an Anti-Dumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2020-15162,07/14/2020,"Seamless carbon and alloy steel standard, line, and pressure pipe (“sslp pipe”)","['7304.19.10', '7304.19.50', '7304.31.60', '7304.39.00', '7304.51.50', '7304.59.60', '7304.59.80']","['Czechia', 'Korea', 'Russia', 'Ukraine']",https://www.federalregister.gov/documents/2020/07/14/2020-15162/seamless-carbon-and-alloy-steel-standard-line-and-pressure-pipe-sslp-pipe-from-czechia-korea-russia,"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe (“SSLP Pipe”) from Czechia, Korea, Russia, and Ukraine; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-10669,05/19/2020,Passenger vehicle and light truck tires,"['4011.10.10', '4011.10.50', '4011.20.10', '4011.20.50']","['Korea', 'Taiwan', 'Thailand', 'Vietnam']",https://www.federalregister.gov/documents/2020/05/19/2020-10669/passenger-vehicle-and-light-truck-tires-from-korea-taiwan-thailand-and-vietnam-institution-of,"Passenger Vehicle and Light Truck Tires From Korea, Taiwan, Thailand, and Vietnam; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-14297,07/02/2020,Twist ties,"['8309.90.00', '5609.00.30', '3906.90.20', '3920.51.50', '3923.90.00', '3926.90.99', '4811.59.60', '4821.10.40', '4821.90.20', '4823.90.86']",['China'],https://www.federalregister.gov/documents/2020/07/02/2020-14297/twist-ties-from-china-institution-of-anti-dumping-and-countervailing-duty-investigations-and,Twist Ties From China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-22026,10/06/2020,Utility scale wind towers,"['7308.20.00', '8502.31.00']","['India', 'Malaysia', 'Spain']",https://www.federalregister.gov/documents/2020/10/06/2020-22026/utility-scale-wind-towers-from-india-malaysia-and-spain-institution-of-anti-dumping-and,"Utility Scale Wind Towers from India, Malaysia, and Spain; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-21953,10/05/2020,Aluminum foil,"['7607.11.30', '7607.11.60', '7607.11.90', '7607.19.60']","['Armenia', 'Brazil', 'Oman', 'Russia', 'Turkey']",https://www.federalregister.gov/documents/2020/10/05/2020-21953/aluminum-foil-from-armenia-brazil-oman-russia-and-turkey-institution-of-anti-dumping-and,"Aluminum Foil From Armenia, Brazil, Oman, Russia, and Turkey; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-14537,07/07/2020,Standard steel welded wire mesh,"['7314.20.00', '7314.39.00']",['Mexico'],https://www.federalregister.gov/documents/2020/07/07/2020-14537/standard-steel-welded-wire-mesh-from-mexico-institution-of-anti-dumping-and-countervailing-duty,Standard Steel Welded Wire Mesh From Mexico; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-14625,07/08/2020,Silicon metal,"['2804.69.10', '2804.69.50']","['Bosnia and herzegovina', 'Iceland', 'Kazakhstan', 'Malaysia']",https://www.federalregister.gov/documents/2020/07/08/2020-14625/silicon-metal-from-bosnia-and-herzegovina-iceland-kazakhstan-and-malaysia-institution-of,"Silicon Metal from Bosnia and Herzegovina, Iceland, Kazakhstan, and Malaysia; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-11762,06/02/2020,Walk-behind lawn mowers,['8433.11.00'],"['China', 'Vietnam']",https://www.federalregister.gov/documents/2020/06/02/2020-11762/walk-behind-lawn-mowers-from-china-and-vietnam-institution-of-anti-dumping-and-countervailing-duty,Walk-Behind Lawn Mowers From China and Vietnam; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-06912,04/02/2020,Non-refillable steel cylinders,"['7310.29.00', '7311.00.00']",['China'],https://www.federalregister.gov/documents/2020/04/02/2020-06912/non-refillable-steel-cylinders-from-china-institution-of-anti-dumping-and-countervailing-duty,Non-Refillable Steel Cylinders From China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-06240,03/25/2020,Small vertical shaft engines,"['8407.90.10', '8409.91.99', '8433.11.00', '8424.30.90', '8407.90.90']",['China'],https://www.federalregister.gov/documents/2020/03/25/2020-06240/small-vertical-shaft-engines-from-china-institution-of-anti-dumping-and-countervailing-duty,Small Vertical Shaft Engines From China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-04830,03/10/2020,Ultra-high molecular weight polyethylene,"['3901.10.10', '3901.20.10']",['Korea'],https://www.federalregister.gov/documents/2020/03/10/2020-04830/ultra-high-molecular-weight-polyethylene-from-korea-institution-of-anti-dumping-duty-investigation,Ultra-High Molecular Weight Polyethylene From Korea; Institution of Anti-Dumping Duty Investigation and Scheduling of Preliminary Phase Investigations
 2020-08576,04/23/2020,Prestressed concrete steel wire strand (“pc strand”),['7312.10.30'],"['Argentina', 'Colombia', 'Egypt', 'Indonesia', 'Italy', 'Malaysia', 'Netherlands', 'Saudi arabia', 'South africa', 'Spain', 'Taiwan', 'Tunisia', 'Turkey', 'Ukraine', 'United arab emirates']",https://www.federalregister.gov/documents/2020/04/23/2020-08576/prestressed-concrete-steel-wire-strand-pc-strand-from-argentina-colombia-egypt-indonesia-italy,"Prestressed Concrete Steel Wire Strand (“PC strand”) From Argentina, Colombia, Egypt, Indonesia, Italy, Malaysia, Netherlands, Saudi Arabia, South Africa, Spain, Taiwan, Tunisia, Turkey, Ukraine, and United Arab Emirates; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-07207,04/07/2020,Mattresses,"['9404.21.00', '9404.29.10', '9404.29.90', '9401.40.00', '9401.90.50']","['Cambodia', 'China', 'Indonesia', 'Malaysia', 'Serbia', 'Thailand', 'Turkey', 'Vietnam']",https://www.federalregister.gov/documents/2020/04/07/2020-07207/mattresses-from-cambodia-china-indonesia-malaysia-serbia-thailand-turkey-and-vietnam-institution-of,"Mattresses From Cambodia, China, Indonesia, Malaysia, Serbia, Thailand, Turkey, and Vietnam; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-02643,02/11/2020,Corrosion inhibitors,['2933.99.82'],['China'],https://www.federalregister.gov/documents/2020/02/11/2020-02643/corrosion-inhibitors-from-china-institution-of-anti-dumping-and-countervailing-duty-investigations,Corrosion Inhibitors From China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-01514,01/29/2020,Difluoromethane (r-32),['2903.39.20'],['China'],https://www.federalregister.gov/documents/2020/01/29/2020-01514/difluoromethane-r-32-from-china-institution-of-anti-dumping-duty-investigation-and-scheduling-of,Difluoromethane (R-32) From China; Institution of Anti-Dumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2020-01016,01/23/2020,Vertical shaft engines,"['8407.90.10', '8407.90.90', '8409.91.50', '8409.91.99']",['China'],https://www.federalregister.gov/documents/2020/01/23/2020-01016/vertical-shaft-engines-from-china-institution-of-anti-dumping-and-countervailing-duty-investigations,Vertical Shaft Engines From China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-00465,01/15/2020,Wood mouldings and millwork products,"['4409.10.40', '4409.10.45', '4409.10.50', '4409.22.40', '4409.22.50', '4409.29.41', '4409.29.51']","['Brazil', 'China']",https://www.federalregister.gov/documents/2020/01/15/2020-00465/wood-mouldings-and-millwork-products-from-brazil-and-china-institution-of-anti-dumping-and,Wood Mouldings and Millwork Products From Brazil and China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-05169,03/13/2020,Common alloy aluminum sheet,"['7606.11.30', '7606.11.60', '7606.12.30', '7606.12.60', '7606.91.30', '7606.91.60', '7606.92.30', '7606.92.60']","['Bahrain', 'Brazil', 'Croatia', 'Egypt', 'Germany', 'Greece', 'India', 'Indonesia', 'Italy', 'Korea', 'Oman', 'Romania', 'Serbia', 'Slovenia', 'South africa', 'Spain', 'Taiwan', 'Turkey']",https://www.federalregister.gov/documents/2020/03/13/2020-05169/common-alloy-aluminum-sheet-from-bahrain-brazil-croatia-egypt-germany-greece-india-indonesia-italy,"Common Alloy Aluminum Sheet From Bahrain, Brazil, Croatia, Egypt, Germany, Greece, India, Indonesia, Italy, Korea, Oman, Romania, Serbia, Slovenia, South Africa, Spain, Taiwan, and Turkey; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2019-27722,12/26/2019,4th tier cigarettes,['2402.20.80'],['Korea'],https://www.federalregister.gov/documents/2019/12/26/2019-27722/4th-tier-cigarettes-from-korea-institution-of-antidumping-duty-investigation-and-scheduling-of,4th Tier Cigarettes From Korea; Institution of Antidumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2019-27881,12/27/2019,Fluid end blocks,"['7218.91.00', '7218.99.00', '7224.90.00', '7326.19.00', '7326.90.86', '8413.91.90']","['China', 'Germany', 'India', 'Italy']",https://www.federalregister.gov/documents/2019/12/27/2019-27881/fluid-end-blocks-from-china-germany-india-and-italy-institution-of-anti-dumping-and-countervailing,"Fluid End Blocks From China, Germany, India, and Italy; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
