document_number,publication_date,product_name,hs_codes,countries,html_url,document_title
 2018-04973,03/13/2018,Laminated woven sacks,"['6305.33.00', '6305.33.00']",['Vietnam'],https://www.federalregister.gov/documents/2018/03/13/2018-04973/laminated-woven-sacks-from-vietnam-institution-of-anti-dumping-and-countervailing-duty,Laminated Woven Sacks From Vietnam; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2018-02176,02/05/2018,Rubber bands,['4016.99.35'],"['China', 'Sri lanka', 'Thailand']",https://www.federalregister.gov/documents/2018/02/05/2018-02176/rubber-bands-from-china-sri-lanka-and-thailand-institution-of-antidumping-and-countervailing-duty,"Rubber Bands From China, Sri Lanka, and Thailand; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2018-01965,02/01/2018,Cast iron soil pipe,['7303.00.00'],['China'],https://www.federalregister.gov/documents/2018/02/01/2018-01965/cast-iron-soil-pipe-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and,Cast Iron Soil Pipe From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2018-01157,01/23/2018,Large diameter welded pipe,[],"['Canada', 'China', 'Greece', 'India', 'Korea', 'Turkey']",https://www.federalregister.gov/documents/2018/01/23/2018-01157/large-diameter-welded-pipe-from-canada-china-greece-india-korea-and-turkey-institution-of,"Large Diameter Welded Pipe From Canada, China, Greece, India, Korea, and Turkey; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2017-28340,01/03/2018,Plastic decorative ribbon,"['3920.10.00', '3920.20.00', '3920.30.00', '3920.43.50', '3920.49.00', '3920.62.00', '3920.69.00', '3921.90.11', '3921.90.15', '3921.90.19', '3921.90.40', '3926.40.00', '3926.90.99', '4601.99.90', '4602.90.00', '5404.90.00', '5609.00.30', '5609.00.40', '9505.10.25', '9505.90.40']",['China'],https://www.federalregister.gov/documents/2018/01/03/2017-28340/plastic-decorative-ribbon-from-china-institution-of-antidumping-and-countervailing-duty,Plastic Decorative Ribbon from China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-26456,12/08/2017,Common alloy aluminum sheet,"['7606.11.30', '7606.11.60', '7606.12.30', '7606.12.60', '7606.91.30', '7606.91.60', '7606.92.30', '7606.92.60']",['China'],https://www.federalregister.gov/documents/2017/12/08/2017-26456/common-alloy-aluminum-sheet-from-china-institution-of-antidumping-and-countervailing-duty,Common Alloy Aluminum Sheet From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-26268,12/06/2017,"Sodium gluconate, gluconic acid, and derivative products","['2918.16.10', '2918.16.50', '2932.20.50']","['China', 'France']",https://www.federalregister.gov/documents/2017/12/06/2017-26268/sodium-gluconate-gluconic-acid-and-derivative-products-from-china-and-france-institution-of,"Sodium Gluconate, Gluconic Acid, and Derivative Products From China and France; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2017-22039,10/12/2017,Forged steel fittings,[],"['China', 'Italy', 'Taiwan']",https://www.federalregister.gov/documents/2017/10/12/2017-22039/forged-steel-fittings-from-china-italy-and-taiwan-institution-of-countervailing-duty-and-antidumping,"Forged Steel Fittings From China, Italy, and Taiwan; Institution of Countervailing Duty and Antidumping Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2017-21342,10/04/2017,Polytetrafluoroethylene (“ptfe”) resin,"['3904.61.00', '3904.61.00']","['China', 'India']",https://www.federalregister.gov/documents/2017/10/04/2017-21342/polytetrafluoroethylene-ptfe-resin-from-china-and-india-institution-of-antidumping-and,Polytetrafluoroethylene (“PTFE”) Resin From China and India; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2017-21010,10/02/2017,Polyethylene terephthalate (pet) resin,"['3907.61.00', '3907.69.00']","['Brazil', 'Indonesia', 'Korea', 'Pakistan', 'Taiwan institution of antidumping duty investigations', 'Scheduling of preliminary phase investigations']",https://www.federalregister.gov/documents/2017/10/02/2017-21010/polyethylene-terephthalate-pet-resin-from-brazil-indonesia-korea-pakistan-and-taiwan-institution-of,"Polyethylene Terephthalate (PET) Resin From Brazil, Indonesia, Korea, Pakistan, and Taiwan Institution of Antidumping Duty Investigations and Scheduling of Preliminary Phase Investigations"
